Title;Title_cat
Romanian Deadlift With Dumbbells;2201
Vertical Swing;2820
Box jump;461
Sled push-;2441
Lying Hamstring;1828
Chair Leg Extended Stretch;526
Suspended Leg Curl;2628
Box Skip;458
Power Stairs;2115
Seated Hamstring and Calf Stretch;2246
Hamstring slide;1161
Lying Leg Curls;1832
Reverse Hyperextension;2168
Standing Leg Curl;2548
Smith machine stiff-legged deadlift;2476
Overhead Stretch;2030
Seated Scissor Kick;2256
Partner resistance standing twist;2057
Straight-Legged Hip Raise;2602
Wall mountain climber;2832
Skin The Cat To Push-Up;2432
Exercise ball knee roll-in;774
Crab toe-touch;567
Side kick-through;2309
Assisted Chin-Up;266
Barbell pull-over to press;371
Rocky Pull-Ups/Pulldowns;2197
Gironda Sternum Chins;973
Floor rope climb;951
Overhead Lat;2028
Around-the-world pull-up;264
L-sit chin-up;1764
Single-arm kneeling lat pull-down;2387
Elevated Cable Rows;763
Full Range-Of-Motion Lat Pulldown;971
Machine seated row;1876
Machine-assisted pull-up;1879
Jump Lunge;1680
Side plank hip dip;2314
Catch and Overhead Throw;523
Barbell deficit deadlift;359
Deadlift with Bands;591
Deadlift with Chains;592
Rack Pull with Bands;2150
Seated Good Mornings;2244
Stiff Leg Barbell Good Morning;2592
Reverse Band Deadlift;2158
Axle Deadlift;272
Atlas Stone Trainer;269
Keg Load;1695
Partner bench back extension;2050
Seated Back Extension;2223
Elbow plank jack;761
Exercise ball V-up;769
Exercise ball weighted hyperextension;782
Partner Facing Feet-Elevated Side Plank With Band Row;2048
Yates Row Reverse Grip;2870
Straight Bar Bench Mid Rows;2598
Yates Row;2869
Plate Row;2097
Barbell Deadlift Bent Row Complex;335
Single-Arm Landmine Row;2330
Two-Arm Kettlebell Row;2730
Bent Over Two-Dumbbell Row With Palms In;416
Middle Back Shrug;1968
Inverted Row with Straps;1661
One Arm Chin-Up;2003
Sled Row;2440
Leverage High Row;1798
Upright Row - With Bands;2813
Clean Shrug;542
Snatch Shrug;2483
Lying Face Down Plate Neck Resistance;1825
Lying Face Up Plate Neck Resistance;1826
Seated Head Harness Neck Resistance;2247
Calf-Machine Shoulder Shrug;516
Standing torso twist stretch;2587
Slalom jumps;2434
Bear crawl;388
Squats - With Bands;2516
Hip Flexion with Band;1198
Forward Band Walk;955
Clean from Blocks;545
Hang Clean;1167
Olympic Squat;1999
Box Squat with Bands;459
Weighted Jump Squat;2842
Squat with Chains;2514
Hang Clean - Below the Knees;1168
Split Jerk;2498
Jefferson Squats;1672
Jerk Dip Squat;1674
Frankenstein Squat;958
Clean Pull;541
Front Barbell Squat To A Bench;961
Split Clean;2497
Front Squat (Clean Grip);966
Squat Jerk;2510
Box Squat with Chains;460
Snatch from Blocks;2484
Power Snatch from Blocks;2114
Squat with Bands;2513
Heaving Snatch Balance;1184
Snatch Balance;2480
Reverse Band Power Squat;2159
Front Squats With Two Kettlebells;967
Kettlebell Pistol Squat;1703
Kettlebell Curtsy Lunge;1698
Dumbbell Squat To A Bench;685
Single-Arm Dumbbell Overhead Squat;2328
Dumbbell Pistol Squat;679
Dumbbell Squat Snatch;684
Dumbbell Alternating Lunge;641
Dumbbell Side Lunge;683
Single Leg Push-off;2324
Skating;2431
Yoke Walk;2872
Front Cone Hops (or hurdle hops);962
Weighted Squat;2845
Backward Drag;283
Intermediate Hip Flexor and Quad Stretch;1659
Single-Leg Box Jump;2332
Conan's Wheel;563
Single-Leg Hop Progression;2334
Rickshaw Deadlift;2187
Single-Leg Stride Jump;2339
Trap Bar Jump;2712
Single-Leg Lateral Hop;2335
Sandbag Load;2217
Car Deadlift;519
Barbell Squat To A Box;350
Double Under;628
Cable Hip Adduction;482
Cable Deadlifts;480
Narrow Stance Hack Squats;1984
Recumbent Bike;2155
Leverage Deadlift;1796
Crab single-arm reach;566
Side lunge cross-body heel-touch;2312
Alligator Crawl;234
Lying cross-over lower back stretch;1845
Half bird dog;1157
Shoulder tap;2295
Double crunch;629
Flutter kick;952
Sprawl;2503
Spider plank jack;2495
Pillar-To-Plank;2084
Alternating High Knee Raise;241
Sumo Squat Pulse;2616
Line-Drill Foot Work;1802
Bosu Ball Squat;453
Internal Rotation with Band;1660
Back Flyes - With Bands;281
Lateral Raise - With Bands;1773
Shoulder Press - With Bands;2291
External Rotation with Band;784
Snatch-Grip Behind-The-Neck Overhead Press;2485
Bradford/Rocky Presses;463
Rack Delivery;2148
Smith Incline Shoulder Raise;2445
Tall Muscle Snatch;2668
Axle Clean And Press;271
Jerk Balance;1673
Two-Arm Kettlebell Military Press;2729
Alternating Kettlebell Press;242
Two-Arm Kettlebell Clean;2727
Kettlebell Seated Press;1704
Double Kettlebell Jerk;624
Kettlebell Arnold Press;1697
One-Arm Kettlebell Split Snatch;2020
One-Arm Kettlebell Para Press;2018
One-Arm Kettlebell Split Jerk;2019
One-Arm Kettlebell Military Press To The Side;2017
One-Arm Kettlebell Jerk;2016
Double Kettlebell Snatch;626
Two-Arm Kettlebell Jerk;2728
Power Partials;2112
Dumbbell Raise;680
